Time (s),Temperature (°C),Error,PI Output,P Component,I Component,D Component
496.43817019462585,30.8125,3.1875,64.17362470064172,14.758125,49.92937540244745,-0.5138757018057272
499.25414180755615,30.8125,3.1875,64.82589001919263,14.758125,50.06776501919263,0.0
502.07068371772766,30.875,3.125,64.15850812095607,14.46875,50.20346774144151,-0.5137096204854269
504.8865704536438,30.875,3.125,64.80788965493777,14.46875,50.33913965493777,0.0
507.7025775909424,30.875,3.125,64.9435674843578,14.46875,50.47481748435781,0.0
510.5186288356781,30.9375,3.0625,64.27336405700538,14.179375,50.60778405371661,-0.5137949967112256
513.3341372013092,30.9375,3.0625,64.92010067648633,14.179375,50.74072567648633,0.0
516.1506588459015,31.0625,2.9375,63.44148407509217,13.600624999999999,50.868285360762535,-1.027426285670364
518.9666619300842,31.0,3.0,65.40234046744186,13.89,50.99853590056192,0.5138045668799478
521.7821283340454,31.0,3.0,65.01876253221786,13.89,51.12876253221787,0.0
524.5987114906311,31.0625,2.9375,64.34325182416416,13.600624999999999,51.256325747439035,-0.5136989232748695
527.4146590232849,31.125,2.875,64.17857774438819,13.31125,51.38114588411876,-0.5138181397305649
530.230571269989,31.0625,2.9375,65.6231252255486,13.600624999999999,51.50867864898889,0.5138215765597192
533.0465712547302,31.125,2.875,64.43094708352447,13.31125,51.63350199841728,-0.513804914892801
535.8704793453217,31.1875,2.8125,64.26546666628701,13.021875,51.75595529368591,-0.5123636273988997
538.6785717010498,31.125,2.875,65.70693201282359,13.31125,51.88042746009349,0.5152545527300927
541.4941782951355,31.25,2.75,63.70456343336793,12.7325,51.99980804889897,-1.027744615531041
544.3101396560669,31.25,2.75,64.85170250692724,12.7325,52.119202506927245,0.0
547.1266686916351,31.3125,2.6875,64.16531945261089,12.443125,52.23590633435233,-0.513711881741447
549.9425683021545,31.3125,2.6875,64.79570969366806,12.443125,52.352584693668064,0.0
552.7581305503845,31.3125,2.6875,64.91237514110679,12.443125,52.4692501411068,0.0
555.5747542381287,31.375,2.625,64.22330386710948,12.15375,52.58324461558067,-0.5136907484711931
558.3906548023224,31.4375,2.5625,64.04504335691622,11.864374999999999,52.69449541509607,-0.5138270581798433
561.2065992355347,31.375,2.625,65.47602804000257,12.15375,52.80846211896008,0.5138159210424937
564.0225813388824,31.4375,2.5625,64.27028372317146,11.864374999999999,52.91971698771207,-0.5138082645406188
566.8385825157166,31.4375,2.5625,64.89534760060687,11.864374999999999,53.030972600606866,0.0
569.6545917987823,31.4375,2.5625,65.00660350550707,11.864374999999999,53.14222850550707,0.0
572.4701700210571,31.5,2.5,64.31187783946461,11.575,53.250755238307256,-0.5138773988426433
575.2861337661743,31.5,2.5,64.93429578335358,11.575,53.35929578335358,0.0
578.1026606559753,31.5625,2.4375,64.23705561501636,11.285625,53.465143279504915,-0.5137126644885537
